ds,y
1-Jan-15,315
2-Jan-15,1048
3-Jan-15,570
4-Jan-15,501
5-Jan-15,1233
6-Jan-15,972
7-Jan-15,969
8-Jan-15,894
9-Jan-15,884
10-Jan-15,601
11-Jan-15,493
12-Jan-15,1097
13-Jan-15,954
14-Jan-15,1038
15-Jan-15,1164
16-Jan-15,1274
17-Jan-15,821
18-Jan-15,623
19-Jan-15,859
20-Jan-15,1553
21-Jan-15,1479
22-Jan-15,1631
23-Jan-15,1473
24-Jan-15,797
25-Jan-15,649
26-Jan-15,1770
27-Jan-15,2243
28-Jan-15,1575
29-Jan-15,1812
30-Jan-15,2423
31-Jan-15,813
1-Feb-15,573
2-Feb-15,1913
3-Feb-15,2127
4-Feb-15,1969
5-Feb-15,2366
6-Feb-15,2007
7-Feb-15,751
8-Feb-15,630
9-Feb-15,2018
10-Feb-15,1852
11-Feb-15,1556
12-Feb-15,1656
13-Feb-15,1585
14-Feb-15,787
15-Feb-15,733
16-Feb-15,1270
17-Feb-15,1501
18-Feb-15,2178
19-Feb-15,1898
20-Feb-15,2216
21-Feb-15,997
22-Feb-15,921
23-Feb-15,1929
24-Feb-15,2392
25-Feb-15,2405
26-Feb-15,2572
27-Feb-15,2067
28-Feb-15,1078
1-Mar-15,864
2-Mar-15,2318
3-Mar-15,1985
4-Mar-15,1494
5-Mar-15,1993
6-Mar-15,1719
7-Mar-15,827
8-Mar-15,715
9-Mar-15,1822
10-Mar-15,1837
11-Mar-15,1752
12-Mar-15,1699
13-Mar-15,1502
14-Mar-15,745
15-Mar-15,694
16-Mar-15,1886
17-Mar-15,1883
18-Mar-15,1909
19-Mar-15,1869
20-Mar-15,2017
21-Mar-15,669
22-Mar-15,570
23-Mar-15,1317
24-Mar-15,1500
25-Mar-15,1445
26-Mar-15,1304
27-Mar-15,1214
28-Mar-15,685
29-Mar-15,526
30-Mar-15,1327
31-Mar-15,1300
1-Apr-15,1174
2-Apr-15,1118
3-Apr-15,960
4-Apr-15,644
5-Apr-15,373
6-Apr-15,1401
