ds,qty_mail
1-Jan-15,0
2-Jan-15,0
3-Jan-15,0
4-Jan-15,0
5-Jan-15,0
6-Jan-15,0
7-Jan-15,0
8-Jan-15,0
9-Jan-15,0
10-Jan-15,0
11-Jan-15,0
12-Jan-15,0
13-Jan-15,0
14-Jan-15,0
15-Jan-15,0
16-Jan-15,0
17-Jan-15,0
18-Jan-15,0
19-Jan-15,0
20-Jan-15,0
21-Jan-15,0
22-Jan-15,0
23-Jan-15,0
24-Jan-15,0
25-Jan-15,0
26-Jan-15,0
27-Jan-15,0
28-Jan-15,0
29-Jan-15,0
30-Jan-15,0
31-Jan-15,0
1-Feb-15,0
2-Feb-15,0
3-Feb-15,0
4-Feb-15,0
5-Feb-15,0
6-Feb-15,0
7-Feb-15,0
8-Feb-15,0
9-Feb-15,0
10-Feb-15,0
11-Feb-15,0
12-Feb-15,0
13-Feb-15,0
14-Feb-15,0
15-Feb-15,0
16-Feb-15,0
17-Feb-15,0
18-Feb-15,0
19-Feb-15,0
20-Feb-15,0
21-Feb-15,0
22-Feb-15,0
23-Feb-15,0
24-Feb-15,0
25-Feb-15,0
26-Feb-15,0
27-Feb-15,0
28-Feb-15,0
1-Mar-15,0
2-Mar-15,0
3-Mar-15,0
4-Mar-15,0
5-Mar-15,0
6-Mar-15,0
7-Mar-15,0
8-Mar-15,0
9-Mar-15,0
10-Mar-15,0
11-Mar-15,0
12-Mar-15,0
13-Mar-15,0
14-Mar-15,0
15-Mar-15,0
16-Mar-15,0
17-Mar-15,0
18-Mar-15,0
19-Mar-15,0
20-Mar-15,0
21-Mar-15,0
22-Mar-15,0
23-Mar-15,0
24-Mar-15,0
25-Mar-15,0
26-Mar-15,0
27-Mar-15,0
28-Mar-15,0
29-Mar-15,0
30-Mar-15,0
31-Mar-15,0
1-Apr-15,0
2-Apr-15,0
3-Apr-15,0
4-Apr-15,0
5-Apr-15,0
6-Apr-15,0
7-Apr-15,0
8-Apr-15,0
9-Apr-15,0
10-Apr-15,0
11-Apr-15,0
12-Apr-15,0
13-Apr-15,0
14-Apr-15,0
15-Apr-15,0
16-Apr-15,0
17-Apr-15,0
18-Apr-15,0
19-Apr-15,0
20-Apr-15,0
21-Apr-15,0
22-Apr-15,0
23-Apr-15,0
24-Apr-15,0
25-Apr-15,0
26-Apr-15,0
27-Apr-15,0
28-Apr-15,0
29-Apr-15,0
30-Apr-15,0
1-May-15,0
2-May-15,0
3-May-15,0
4-May-15,0
5-May-15,0
6-May-15,0
7-May-15,0
8-May-15,0
9-May-15,0
10-May-15,0
11-May-15,0
12-May-15,0
13-May-15,0
14-May-15,0
15-May-15,0
16-May-15,0
17-May-15,0
18-May-15,0
19-May-15,0
20-May-15,0
21-May-15,0
22-May-15,0
23-May-15,0
24-May-15,0
25-May-15,0
26-May-15,0
27-May-15,0
28-May-15,0
29-May-15,0
30-May-15,0
31-May-15,0
1-Jun-15,0
2-Jun-15,0
3-Jun-15,0
4-Jun-15,0
5-Jun-15,0
6-Jun-15,0
7-Jun-15,0
8-Jun-15,0
9-Jun-15,0
10-Jun-15,0
11-Jun-15,0
12-Jun-15,0
13-Jun-15,0
14-Jun-15,0
15-Jun-15,0
16-Jun-15,0
17-Jun-15,0
18-Jun-15,0
19-Jun-15,0
20-Jun-15,0
21-Jun-15,0
22-Jun-15,0
23-Jun-15,0
24-Jun-15,0
25-Jun-15,0
26-Jun-15,0
27-Jun-15,0
28-Jun-15,0
29-Jun-15,0
30-Jun-15,0
1-Jul-15,0
2-Jul-15,0
3-Jul-15,0
4-Jul-15,0
5-Jul-15,0
6-Jul-15,0
7-Jul-15,0
8-Jul-15,0
9-Jul-15,0
10-Jul-15,0
11-Jul-15,0
12-Jul-15,0
13-Jul-15,0
14-Jul-15,0
15-Jul-15,0
16-Jul-15,0
17-Jul-15,0
18-Jul-15,0
19-Jul-15,0
20-Jul-15,0
21-Jul-15,0
22-Jul-15,0
23-Jul-15,0
24-Jul-15,0
25-Jul-15,0
26-Jul-15,0
27-Jul-15,0
28-Jul-15,0
29-Jul-15,0
30-Jul-15,0
31-Jul-15,0
1-Aug-15,0
2-Aug-15,0
3-Aug-15,0
4-Aug-15,0
5-Aug-15,0
6-Aug-15,0
7-Aug-15,0
8-Aug-15,0
9-Aug-15,0
10-Aug-15,0
11-Aug-15,0
12-Aug-15,0
13-Aug-15,0
14-Aug-15,0
15-Aug-15,0
16-Aug-15,0
17-Aug-15,0
18-Aug-15,0
19-Aug-15,0
20-Aug-15,0
21-Aug-15,0
22-Aug-15,0
23-Aug-15,0
24-Aug-15,0
25-Aug-15,0
26-Aug-15,0
27-Aug-15,0
28-Aug-15,0
29-Aug-15,0
30-Aug-15,0
31-Aug-15,0
1-Sep-15,0
2-Sep-15,0
3-Sep-15,0
4-Sep-15,0
5-Sep-15,0
6-Sep-15,0
7-Sep-15,0
8-Sep-15,0
9-Sep-15,0
10-Sep-15,0
11-Sep-15,0
12-Sep-15,0
13-Sep-15,0
14-Sep-15,0
15-Sep-15,0
16-Sep-15,0
17-Sep-15,0
18-Sep-15,0
19-Sep-15,0
20-Sep-15,0
21-Sep-15,0
22-Sep-15,0
23-Sep-15,0
24-Sep-15,0
25-Sep-15,0
26-Sep-15,0
27-Sep-15,0
28-Sep-15,0
29-Sep-15,0
30-Sep-15,0
1-Oct-15,0
