ds,qty_mail,y,state
1/1/2015,0,315,FL
1/2/2015,0,1048,FL
1/3/2015,0,570,FL
1/4/2015,0,501,FL
1/5/2015,0,1233,FL
1/6/2015,0,972,FL
1/7/2015,0,969,FL
1/8/2015,0,894,FL
1/9/2015,0,884,FL
1/10/2015,0,601,FL
1/11/2015,0,493,FL
1/12/2015,0,1097,FL
1/13/2015,0,954,FL
1/14/2015,0,1038,FL
1/15/2015,0,1164,FL
1/16/2015,0,1274,FL
1/17/2015,0,821,FL
1/18/2015,0,623,FL
1/19/2015,0,859,FL
1/20/2015,0,1553,FL
1/21/2015,0,1479,FL
1/22/2015,0,1631,FL
1/23/2015,0,1473,FL
1/24/2015,0,797,FL
1/25/2015,0,649,FL
1/26/2015,0,1770,FL
1/27/2015,0,2243,FL
1/28/2015,0,1575,FL
1/29/2015,0,1812,FL
1/30/2015,0,2423,FL
1/31/2015,0,813,FL
2/1/2015,0,573,FL
2/2/2015,0,1913,FL
2/3/2015,0,2127,FL
2/4/2015,0,1969,FL
2/5/2015,0,2366,FL
2/6/2015,0,2007,FL
2/7/2015,0,751,FL
2/8/2015,0,630,FL
2/9/2015,0,2018,FL
2/10/2015,0,1852,FL
2/11/2015,0,1556,FL
2/12/2015,0,1656,FL
2/13/2015,0,1585,FL
2/14/2015,0,787,FL
2/15/2015,0,733,FL
2/16/2015,0,1270,FL
2/17/2015,0,1501,FL
2/18/2015,0,2178,FL
2/19/2015,0,1898,FL
2/20/2015,0,2216,FL
2/21/2015,0,997,FL
2/22/2015,0,921,FL
2/23/2015,0,1929,FL
2/24/2015,0,2392,FL
2/25/2015,0,2405,FL
2/26/2015,0,2572,FL
2/27/2015,0,2067,FL
2/28/2015,0,1078,FL
3/1/2015,0,864,FL
3/2/2015,0,2318,FL
3/3/2015,0,1985,FL
3/4/2015,0,1494,FL
3/5/2015,0,1993,FL
3/6/2015,0,1719,FL
3/7/2015,0,827,FL
3/8/2015,0,715,FL
3/9/2015,0,1822,FL
